Task,Category,Epic,Notes,Priority,Status,Type
Diseñar e implementar Portal de Sponsors,Dev,Phase 3 — Academy Tools,Dar a sponsors visibilidad del impacto de su apoyo. Puede ser dashboard de solo lectura o reportes PDF automáticos. Prioridad media — construir una vez que haya datos reales en el sistema.,Medium,Backlog,Feature
"Configurar Supabase: schema, auth y RLS",Dev,Phase 1 — Core Features,"No es solo auth — es el paso de infraestructura completo: crear proyecto Supabase, implementar el schema diseñado, configurar Row Level Security por rol (coach ve sus atletas, atleta ve su expediente, padre solo lectura), y auth. Se hace todo junto en una sola iteración. Depende de: schema de BD diseñado.",High,Done,Infra
Definir estrategia de hosting y deploy,Dev,Phase 1 — Core Features,"Evaluar opciones para producción con React + Vite. Considerar Vercel, Netlify u otras. Definir junto con decisión de backend.",High,Backlog,Infra
Conectar Expediente del atleta a backend real,Dev,Phase 1 — Core Features,Actualmente funciona con datos dummy. Requiere backend definido. Incluye capas de especialistas y fitness tests.,High,Backlog,Feature
Completar formulario NuevoReporte,Dev,Phase 1 — Core Features,Bloqueado por: 'Diseñar campos del NuevoReporte con coaches' + 'Diseñar schema de BD'. No se puede construir hasta tener los campos definidos y Supabase configurado. Es el flujo de captura core del MVP junto con el PTF.,High,Done,Feature
Diseñar campos del PTF con los coaches,Team,Phase 1 — Core Features,Definir junto con los coaches qué campos tendrá el Post-Torneo Form para maximizar su valor como señal de carácter para recruiters.,High,Done,Feature
Implementar flujo de subida de video en Ejercicios,Dev,Phase 1 — Core Features,"Post-MVP. No bloquea el piloto. La subida de video es infraestructura compleja (storage, transcoding) que no aporta valor hasta que los flujos de captura de reportes y PTF estén funcionando con datos reales.",Low,Backlog,Feature
Validar diseño en mobile,Dev,Phase 1 — Core Features,"TOP PRIORITY — hacer el portal mobile-friendly antes de continuar con otros features. Si hay que parar todo para resolverlo, se hace en la siguiente sesión. (Antes era Post-MVP; promovido a top priority el 2026-06-07.)",High,Backlog,Chore
Diseñar e implementar Talent Card,Dev,Phase 2 — Analytics,"MVP implementado. Secciones: 01 perfil reclutamiento (read-only, el atleta llena en registro), 02 rankings+resultados, 03 narrativa del coach (trayectoria global + notas por dimensión + señal de carácter), 04 coach vs atleta (placeholder), 05 especialistas (placeholder). Ruta: /portal/alumnos/:id/talent-card. Diferencia vs Expediente: Talent Card muestra QUÉ concluye el coach (narrativa), Expediente muestra CÓMO evalúa (sub-scores). Pendiente: tabla athlete_recruitment_profile en DB, conexión PTF para sección 04.",High,Done,Feature
Diseñar e implementar épica de Reportes de Especialistas,Dev,Phase 2 — Analytics,Post-MVP. Estratégicamente valioso pero no necesario para validar el piloto con coaches y atletas. Construir una vez que los flujos de reporte del coach y PTF tengan datos reales y el sistema esté probado.,Low,Backlog,Feature
Diseñar campos del NuevoReporte con coaches,Team,Phase 1 — Core Features,"PRE-CÓDIGO. Sesión con coaches para definir exactamente qué evalúan en cada dimensión (On-Court, Physical, Mental, Character, Athlete Voice): qué campos, qué escala, qué anécdota. El resultado es la especificación del formulario. Sin esto no se puede diseñar el schema de BD ni construir NuevoReporte.",High,Done,Chore
Diseñar schema de base de datos,Dev,Phase 1 — Core Features,"PRE-CÓDIGO. Diseñar las tablas, relaciones y políticas de seguridad en papel antes de tocar Supabase. Depende de: campos del NuevoReporte y campos del PTF definidos. Tablas mínimas del MVP: users, athletes, coaches, reports (5 dimensiones), ptf_entries, tournaments.",High,Done,Infra
Implementar formulario PTF funcional,Dev,Phase 1 — Core Features,El atleta llena su reflexión post-torneo desde el portal. Form React conectado a Supabase. Depende de: campos del PTF definidos con coaches + schema de BD + Supabase configurado. Es uno de los dos flujos de captura core del MVP.,High,Done,Feature
Set up de herramientas del equipo,Team,,"Phase 0 — Infraestructura de colaboración del equipo (no dev). Stack propuesto: (1) Notion: página de Team separada de Dev Tasks, con kanban de tareas admin/operativas y sección de docs/recursos; (2) Google Drive compartido (cuentas Gmail personales) para archivos pesados: guías de marca, PDFs, templates, brand assets; (3) WhatsApp: definir grupos por tema (operaciones, coaches, etc.) para estructurar la comunicación; (4) Google Calendar compartido para clases, torneos y entrenamientos.",Medium,Done,Infra
PTF Voice Interview — Entrevista conversacional de voz post-partido,Dev,Phase 1 — Core Features,"Iteración 2 del PTF. Integrar ElevenLabs Conversational AI como modo alternativo de llenado del formulario. El agente conduce la entrevista por voz cubriendo los 8 campos del PTF, transcribe las respuestas y las estructura automáticamente via LLM. Incluye análisis de tono emocional como dato adicional. El schema de BD no cambia. Bloqueado por: PTF modo escritura (iteración 1).",Low,Backlog,Feature
"Investigar API de UTR — acceso, crawler, o update manual",Team,Phase 1 — Core Features,"Opciones en orden de preferencia: (1) API oficial de UTR — contactar para acceso. (2) Crawler si no hay API. (3) Update manual por el coach desde la app de UTR (mensual, no es crítico). El UTR se captura una vez al mes por atleta en el NuevoReporte.",Low,Backlog,Chore
Evaluar integración Swing Vision — On-Court & On-Tournament,Team,Phase 2 — Analytics,STAND-BY — Confirmado por PTF/NR (Jun 2026). SwingVision sí mide potencia de golpes; esa métrica se integrará en el task de Pruebas Físicas. La evaluación táctica algorítmica queda en pausa hasta definir el roadmap de Phase 2. Revisar cuando NuevoReporte modo escritura esté en producción.,Low,Backlog,Feature
"Definir visión, MVP y alcance del producto",Team,,"Sesión 1 (22 mayo). Se estableció la visión de la plataforma, se redefinió el alcance del MVP a NuevoReporte + PTF + Talent Card, y se reorganizaron las prioridades del kanban. Todo lo que no es MVP pasó a Low/Backlog.",High,Done,Chore
Crear documento http://nuevoreporte-schema.md,Team,,"Sesión 2 (29 mayo). Schema del NuevoReporte definido con 6 dimensiones: On-Court, Physical, Mental (pendiente psicóloga), Character & Leadership, Athlete Voice, Nutrición (pendiente nutrióloga).",High,Done,Chore
"Configurar estructura de trabajo (http://CLAUDE.md, kanban Notion, carpetas del repo)",Team,,"Sesión 1 (22 mayo). Se creó http://CLAUDE.md con reglas de trabajo, kanban en Notion como fuente de verdad, y estructura de carpetas del repositorio definida.",High,Done,Infra
Crear guía de definición de campos PTF y NuevoReporte para coaches,Team,,Sesión 1 (22 mayo). Se generó http://guia-sesion-campos-nuevoreporte-ptf.md con preguntas estructuradas para que el equipo definiera los campos antes de la siguiente sesión.,High,Done,Chore
Crear documento http://ptf-post-tournament-form.md,Team,,"Sesión 2 (29 mayo). PTF rediseñado de 18 preguntas abiertas a 8 preguntas limpias, todas obligatorias, con metadata estructurada del partido. El modo voz (ElevenLabs) queda para iteración 2.",High,Done,Chore
Diseñar analytics de uso de plataforma y página web,Team,,"Definir qué métricas de uso se van a trackear (engagement por módulo, frecuencia de llenado de PTF/NuevoReporte, atletas activos, etc.) y qué herramienta se usa. Los reportes quincenales de la plataforma van a depender de esto.",Low,Backlog,Feature
Definir estrategia de planes de entrenamiento (builder en app vs workflow externo),Team,,"Por ahora existe una carpeta en Drive para planes de entrenamiento, pero la estrategia de cómo se crean y asignan por atleta no está definida. Opciones: (1) builder dentro de la app, (2) workflow externo que genere planes a escala. Decidir antes de implementar. Post-MVP.",Low,Backlog,Feature
Diseñar e implementar registro de asistencia,Dev,Phase 1 — Core Features,"Nueva feature. Objetivo: registrar días efectivos de entrenamiento por atleta para cruzar rendimiento vs. asistencia real. Pregunta de diseño abierta: ¿debería vivir en un view exclusivo de coaches donde dan click a los atletas que llegaron cada día, o integrarse en el flujo de sesión existente? Definir UX antes de construir.",High,Backlog,Feature
"Definir protocolo de pruebas físicas — schema, cadencia y métricas SV",Team,Phase 2 — Analytics,"Tlaca confirmó que las pruebas core están bien (Jun 2026). Cadencia: cada 3 meses. Apoyo de fisios para algunas pruebas.

Pruebas core (7 en total):
1. Sprint 20m — Velocidad / Aceleración
2. Beep test — Resistencia aeróbica
3. Salto vertical (CMJ) — Potencia de piernas
4. Spider drill — Agilidad en cancha
5. FMS simplificado — Movilidad / control postural
6. Sentadillas en 1 minuto — Fuerza de tren inferior
7. Lagartijas en 1 minuto — Fuerza de tren superior

SwingVision mide potencia de golpes — integrar como métrica en el schema de BD: promedio por partido y promedio por sesión de entrenamiento. Esto alimenta la sección Physical del NuevoReporte en Supabase.",Medium,Backlog,Feature
Definir checklist de torneos y entrenamientos — frecuencia y owner,Team,Phase 1 — Core Features,"PTF/NR aprobaron el checklist. Pendiente: definir cuándo se aplica (antes de torneo, después de cada sesión, semanal), quién lo llena (coach, atleta, ambos) y si vive dentro del NuevoReporte o es un flujo separado.",Medium,Backlog,Chore
Definir evaluación de conducta y liderazgo — frecuencia y campos,Team,Phase 1 — Core Features,"PTF/NR aprobaron la sección de conducta y liderazgo. Pendiente: definir si la evaluación es mensual o trimestral. Una vez decidida la frecuencia, mapear campos al schema del NuevoReporte.",Medium,Backlog,Feature
Implementar Portal · Expediente del Atleta — frontend React,Dev,Phase 1 — Core Features,"Implementar el diseño completo del portal (shell, sidebar, topbar, roster, expediente con 8 tabs) en React + Vite a partir del design handoff de Claude Design. Cerrado en barrido de kanban (13 Jul 2026, confirmado por Marco) — el Expediente ya está en producción y se referencia como funcional en tasks posteriores (ej. Talent Card).",High,Done,Feature
Limpiar portal MVP — conectar a Supabase real,Dev,Phase 1 — Core Features,"Migró auth a Supabase Auth, instaló @supabase/supabase-js, sembró 1 coach + 5 atletas, limpió sidebar a solo Atletas + Nuevo Reporte, conectó lista de atletas y NuevoReporte (on-court) a Supabase real. Eliminó rutas/features sin conexión (torneos, ejercicios, especialistas, perfil).",High,Done,Feature
Integración de API de UTR para resultados de partidos,Dev,Phase 2 — Analytics,Conectar API de UTR Sports para jalar resultados de partidos por atleta. Depende de aprobación del formulario de developer. Los resultados se mostrarán en el perfil del atleta.,Medium,Backlog,Feature
Solicitud de acceso a API de UTR Sports,Team,Phase 2 — Analytics,Llenar el formulario de aplicación de developer en https://www.utrsports.net/pages/api-developer-application. Necesitamos acceso para obtener resultados de partidos de los atletas.,Medium,Backlog,Chore
[Post-MVP] Publicación del plan trimestral y notificaciones a atleta y papás,Dev,Phase 3 — Academy Tools,"Post-MVP. Una vez que el coach aprueba el plan, publicarlo en el portal del atleta y enviar notificación (push/email) al atleta y sus papás.",Low,Backlog,Feature
Scraper de rankings AMTP (http://amtp.mx),Dev,Phase 2 — Analytics,Scraper para https://amtp.mx/ que extraiga los rankings de la Asociación Mexicana de Tenis Profesional. Los datos se usan para mostrar el ranking nacional/regional de cada atleta en su perfil.,Medium,Done,Feature
[Post-MVP] Definir estructura y campos del plan trimestral,Team,Phase 3 — Academy Tools,"Post-MVP. Definir qué campos componen un plan trimestral: objetivos por dimensión, métricas target, carga semanal, etc. Input para diseñar el flujo de ingestion con AI.",Low,Backlog,Feature
[Post-MVP] Flujo de ingestion del plan trimestral para coaches con AI,Dev,Phase 3 — Academy Tools,"Post-MVP. UI + backend para que el coach ingrese los parámetros del período, la IA genere el plan trimestral por atleta, y el coach lo revise y edite antes de publicarlo.",Low,Backlog,Feature
Implementar escalas PTF en PostTorneo.jsx,Dev,,,High,Done,Feature
Auth de coaches y atletas,Dev,Phase 1 — Core Features,Supabase Auth para coaches (ya tiene user_id en coaches table?) y atletas (user_id ya existe en athletes table). Login diferenciado por rol. Protección de rutas. Después de completar el perfil del atleta.,High,Done,Feature
[Post-MVP] Admin dashboard — métricas de engagement,Dev,Phase 2 — Analytics,"Métricas de uso de la plataforma: qué se llena, qué no, qué tarda en llenarse, qué se usa más/menos. Trabajar después de que el MVP esté definido y antes de abrir prod a usuarios reales.",Medium,Backlog,Feature
Diseñar e implementar perfil del atleta,Dev,Phase 1 — Core Features,"Schema en Supabase + UI de creación y edición. Campos actuales en tabla athletes: nombre, apellido, fecha_nacimiento, foto_url, mano_dominante, fecha_ingreso, utr_actual. Faltan: tipo_reves, altura, peso, email, teléfono, contacto emergencia, escuela/grado, y tabla athlete_recruitment_profile (división objetivo, graduación, GPA, inglés, área de estudio).",High,Done,Feature
[Post-MVP] Error logs y dashboard de errores,Dev,Phase 2 — Analytics,Registrar cada interacción relevante en Supabase. Dashboard para monitorear errores que afectan la experiencia. Trabajar antes de abrir prod a usuarios reales.,Medium,Backlog,Infra
Pantalla de reportes pendientes por periodo,Dev,Phase 1 — Core Features,"Vista para el coach: tabla de atletas asignados vs. secciones completadas por período (On-court, Physical, Character, Athlete Voice). Flag visible cuando el atleta no ha subido su Athlete Voice. Independiente del auth de atletas. Cerrado en barrido de kanban (13 Jul 2026, confirmado por Marco) — duplicado del task ya Done (37a5a7ea46608195b116c6c01e2d19b6), mismo alcance, ya implementado.",High,Done,Feature
Investigar y definir 2FA + notificaciones por WhatsApp,Team,Phase 1 — Core Features,"Dos objetivos ligados: (1) 2FA en el login — evaluar si se hace por email (Supabase lo soporta nativo) o por WhatsApp/SMS (requiere API externa). (2) Notificaciones a atletas por WhatsApp — ej: 'tu coach subió un nuevo reporte', 'tienes un PTF pendiente'. 

APIs a investigar:
- WhatsApp Business API (Meta oficial) — requiere cuenta de business verificada, buena para volúmenes altos
- Twilio — soporta WA + SMS + 2FA en un solo SDK, fácil de integrar con Supabase Edge Functions
- MessageBird / http://Bird.com — alternativa a Twilio con precios más flexibles en LatAm
- http://Respond.io / Wati — más orientados a CRM sobre WA, no tanto para notificaciones programmáticas

Preguntas clave a responder:
- ¿Qué tipos de mensajes permite WA Business sin ser bloqueado? (solo plantillas aprobadas para outbound)
- ¿La academia tiene número de WA Business ya registrado?
- ¿Qué volumen de mensajes se espera? (determina si Twilio vs Meta directo)
- ¿El 2FA es bloqueante o solo recomendado?

Decisión esperada: servicio elegido + estimado de costo por mensaje + plan de integración con Supabase Edge Functions. Trabajar antes de abrir el registro a usuarios reales.",Medium,Backlog,Feature
[Post-MVP] Conectar progreso escolar con transcripts por ciclo,Team,Phase 2 — Analytics,"El campo escuela/grado se actualiza manualmente cada verano. Post-MVP: conectar con transcripts reales por ciclo escolar para validar que el atleta efectivamente avanzó. Si un atleta reprueba un ciclo, actualizarlo sin evidencia no tiene sentido. Requiere definir: qué documento se sube, quién lo sube (atleta/padre), con qué frecuencia, y cómo afecta el perfil de reclutamiento si hay un ciclo sin progreso.",Low,Backlog,Feature
[Post-MVP] Recordatorio automático de actualizar grado escolar en agosto,Dev,Phase 2 — Analytics,"Cada agosto, enviar notificación al atleta/padre para que actualicen el grado escolar manualmente. NO hacer update automático: si el atleta reprueba un ciclo, el sistema lo subiría de grado igualmente. El update lo debe confirmar una persona. Requiere: canal de notificación definido (email o WhatsApp, ver task de 2FA/WA) + scheduled task via Supabase Edge Function + pg_cron.",Low,Backlog,Feature
Fix 404 en rutas SPA (Vercel rewrite),Dev,Phase 1 — Core Features,"Configurar Vercel para que sirva index.html en todas las rutas — fix para BrowserRouter (HTML5 history API). Sin esto, abrir /portal/inicio en nueva tab devuelve 404.",High,Done,Bug
Pantalla de reportes pendientes por periodo,Dev,Phase 1 — Core Features,"Vista para el coach: tabla de atletas asignados vs. secciones completadas por período (On-court, Physical, Character, Athlete Voice). Flag visible cuando el atleta no ha subido su Athlete Voice. Independiente del auth de atletas.",High,Done,Feature
Implementar Athlete Voice — auto-evaluación del atleta por período,Dev,Phase 1 — Core Features,,High,Done,Feature
Auditar y blindar la capa de display de escalas (-2/+2 vs 1-5),Dev,,,,Backlog,
Crear tablas tournaments + athlete_tournaments y conectar MisTorneos / NuevoTorneo,Dev,Phase 1 — Core Features,"Migración Supabase: crear tournaments + athlete_tournaments con RLS. Migrar NuevoTorneo.jsx (localStorage→Supabase), MisTorneos.jsx (dummy→Supabase), y actualizar PostTorneo.jsx para linkear por athlete_tournament_id.",High,Done,Feature
Fix rondas Q1/Q2/Q3 + label fecha + NuevoTorneoCoach.jsx + RLS coaches,Dev,Phase 1 — Core Features,Rondas Q1/Q2/Q3 agregadas. Label 'Fecha de inicio del torneo'. Constantes compartidas en torneoOpciones.js. NuevoTorneoCoach.jsx con selector de atleta en /portal/torneos/registrar. RLS actualizado: cualquier coach puede INSERT en athlete_tournaments para cualquier atleta + SELECT de todos los atletas.,High,Done,Feature
Guía de QA: checklist de funcionalidades y mapa de flujos end-to-end (atleta + coach),Team,,"Documento para el tour de la plataforma previo a presentación al equipo: funcionalidades por rol, mapa de flujos conectados, tablas de Supabase a verificar, plantilla de bugs/sugerencias.",,Done,
B9 — Athlete Voice no indica qué periodo está disponible,Dev,,"QA 11-jun. Cuando el coach llena el NR, el atleta debería ver cuál periodo tiene disponible para llenar su athlete voice; hoy solo registra si llenó uno, sin decir cuál ni si hay otro pendiente.",Medium,Done,Bug
F8 — Registro y monitoreo de dobles (post-MVP),Team,,"QA 11-jun. Si el atleta juega singles y dobles en un torneo, se necesita otro campo de llenado para dobles. Definir post-MVP cómo registrar y monitorear dobles.",Low,Backlog,Feature
F2 — Definir con coaches el alta de atletas,Team,,"Resuelto 9 Jul 2026, en el contexto del scoping de 'Quitar constraint de asignación coach↔atleta': se decidió NO construir alta manual por coach. Autoregistro (Signup.jsx) es y seguirá siendo el único flujo de alta. NuevoAtleta.jsx (que sí llegó a construirse pero nunca se enlazó a ningún botón/link — ruta huérfana /portal/alumnos/nuevo) se borra como parte de ese task. Ver docs/http://scope-coach-atleta-libre.md §3.1.",Medium,Done,Feature
B3 — Fecha de inicio del atleta inconsistente con sus reportes,Dev,,"QA 11-jun. Expediente de Marco Damián dice inicio jun 2026 pero hay reportes de abr y may. Fix inmediato: cambiar inicio de Marco a abril. Fix de fondo: validar que no se puedan generar reportes anteriores al mes de registro (si se registró el 20-abr, el primer reporte disponible es abril).",High,Done,Bug
F5 — Explicaciones inline en dimensiones de táctica y FMS,Dev,,QA 11-jun. Agregar descripción corta de cada dimensión de táctica (ni quien las definió las recuerda) y en el FMS de Nuevo Reporte indicar el threshold de pass/fail.,Medium,Done,Feature
B6 — Autocomplete de Google se borra en el login,Dev,,QA 11-jun. Al usar autofill de usuario/contraseña se borra la primera vez y hay que hacerlo dos veces.,Low,Backlog,Bug
B1 — W/L record no se actualiza en expediente ni talent card,Dev,,"Detectado en QA 11-jun. Fixed: W/L ahora es por partidos — el PTF pregunta cuántos partidos jugó (partidos_jugados en athlete_tournaments); si ganó el último gana todos, si no, pierde solo el último. Subtítulo mantiene 'x torneos con resultado'. Se reemplazará con data de UTR/ITF cuando se integren.",High,Done,Bug
B8 — Inicio de atleta sigue diciendo 'llena tu primer PTF' tras llenarlo,Dev,,QA 11-jun. El empty state de /portal/inicio no detecta PTFs existentes.,Medium,Done,Bug
F6 — Talent card: números en los nodos de la gráfica del coach,Dev,,QA 11-jun. La gráfica de scores del coach por periodo no muestra el valor en cada nodo.,Low,Done,Feature
B7 — PTF: quitar ronda 'Campeón' (duplica 'Final' + victoria),Dev,,QA 11-jun. Final con último partido ganado y Campeón son el mismo estado; permite data duplicada/inconsistente.,Medium,Done,Bug
B2 — No se ve la diferencia periodo a periodo en ética de trabajo y coachabilidad,Dev,,QA 11-jun. Los scores de character no muestran su evolución entre periodos.,Medium,Done,Bug
F3 — Expediente: mostrar sub-dimensiones de táctica separadas de técnica,Dev,,QA 11-jun. La táctica solo aparece como parte del box de técnica ('por buen camino'); sus sub-dimensiones deberían tener su propia sección en el expediente.,Medium,Done,Feature
B10 — Box vacío de UTR en mi-rendimiento,Dev,,QA 11-jun. Aparece un box de UTR de los últimos dos periodos sin datos. Verificar si falta data o si el componente no la lee.,Medium,Done,Bug
F7 — Vista de PTFs por torneo para el coach,Dev,,QA 11-jun. El portal de torneos no deja al coach revisar los PTFs. Crear view tipo tabla con cada atleta del torneo según las métricas del PTF + poder abrir y leer cada PTF completo. Post-MVP: AI summary por torneo (serán muchos atletas).,High,Backlog,Feature
B4 — Posible off-by-one de mes al guardar reportes,Dev,,QA 11-jun. A Marco Damián le falta el reporte de junio y el último es de mayo: sospecha de que el periodo se corre un mes hacia atrás al guardar (probable bug de timezone en el input type=month / slice de fecha). Integridad de datos.,High,Done,Bug
F4 — Box de técnica se ve vacío en el expediente,Dev,,QA 11-jun. No hay suficientes dimensiones para llenar las cajas de la tabla; ajustar layout o contenido.,Low,Done,Feature
B5 — Talent card: sección percepción compara PTFs en vez de reportes de periodo,Dev,,"QA 11-jun. En atletas con 2+ PTFs la sección no muestra datos. Debe comparar reports de periodo (coach vs athlete voice), no post_tournament_forms.",High,Done,Bug
F1 — Auth de coaches (sign up / log in),Dev,Phase 1 — Core Features,QA 11-jun. Hoy solo existe signup/login de atletas. Bloquea invitar coaches a producción.,High,Done,Feature
B11 — PTF no guardó ronda/resultado/victoria (Abierto La Hacienda),Dev,,"QA 11-jun (2a ronda). El PTF guardó las secciones A–E pero el bloque de resultado quedó null. Fix: ronda/victoria/resultado obligatorios cuando el PTF está ligado a un torneo, manejar el error del update (antes se ignoraba), y reenvío de PTF actualiza en vez de duplicar fila.",High,Done,Bug
F9 — Gráfica de trayectoria global a todo el ancho en Talent Card,Dev,,QA 11-jun. La gráfica de trayectoria global ocupa ~45% del espacio del bloque; debe crecer para ocupar todo el ancho disponible.,Medium,Backlog,Feature
Mover data demo de Sofía a Marco Damián,Dev,,"Marco tiene la cuenta real registrada; Sofía es dummy. Mover los 5 periodos de reportes, 9 torneos con PTFs y ajustar fecha_ingreso/UTR.",High,Done,Chore
Revisar Claude Design para atleta y coach,Team,,Revisar las propuestas de Claude Design para las vistas de atleta y coach.,Medium,Backlog,Chore
Planes trimestrales + views de atleta y coach,Dev,,"Incluir en el MVP: planes trimestrales por atleta y sus views correspondientes para atleta y coach. Definir alcance (qué contiene el plan, quién lo crea/edita, cómo se da seguimiento).",High,Backlog,Feature
Mobile first en todo el portal,Dev,,"El portal debe funcionar mobile first: coaches lo usan en cancha y atletas llenan PTF/Athlete Voice desde el teléfono. Auditar todas las vistas (expediente, talent card, nuevo reporte, torneos, PTF) en viewport móvil y ajustar layouts.",High,Done,Feature
Landing page,Dev,Phase 1 — Core Features,"Landing pública necesaria antes del lanzamiento con usuarios reales (coaches y atletas). Pendiente definir contenido y diseño. Prerequisito: bugs resueltos, mobile first, auth de coaches completo, pruebas finales.",High,Backlog,Feature
